,model,model__learning_rate,model__n_estimators,model__n_neighbors,model__C,model__degree,model__gamma,model__kernel,mean_test_score,std_test_score,rank
59,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.3560059113548619,2.0,1.5046937582646791e-05,linear,0.8628884826325411,0.004785877571503096,1
44,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.25495748488626513,6.0,2.375532884710567e-06,linear,0.8628884826325411,0.004785877571503096,1
52,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,34163.05391744578,4.0,0.00111743709943234,rbf,0.8610603290676416,0.006497456318331187,3
54,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,139632.22103800616,3.0,0.0011279696162757222,rbf,0.8610603290676416,0.006497456318331187,3
55,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,4931.720298729955,2.0,10.0,poly,0.8555758683729433,0.010537579903836327,5
48,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,765052.699641793,5.0,0.003330688011117273,rbf,0.850091407678245,0.02583503640421215,6
83,RandomForestClassifier(random_state=0),,358.0,,,,,,0.8464351005484461,0.019377629904328977,7
77,RandomForestClassifier(random_state=0),,358.0,,,,,,0.8464351005484461,0.019377629904328977,7
82,RandomForestClassifier(random_state=0),,358.0,,,,,,0.8464351005484461,0.019377629904328977,7
86,RandomForestClassifier(random_state=0),,357.0,,,,,,0.8446069469835467,0.02049523066798401,10
65,RandomForestClassifier(random_state=0),,336.0,,,,,,0.8427787934186471,0.0218611973374357,11
64,RandomForestClassifier(random_state=0),,375.0,,,,,,0.8427787934186471,0.01854969175388028,11
73,RandomForestClassifier(random_state=0),,344.0,,,,,,0.8427787934186471,0.025665508869976126,11
79,RandomForestClassifier(random_state=0),,359.0,,,,,,0.8427787934186471,0.026120221878926448,11
89,RandomForestClassifier(random_state=0),,356.0,,,,,,0.8409506398537477,0.019282800002230944,15
57,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,64154.42192180447,8.0,0.004580367142711744,rbf,0.8409506398537477,0.01909400289507028,15
74,RandomForestClassifier(random_state=0),,351.0,,,,,,0.8409506398537477,0.023076896949986055,15
76,RandomForestClassifier(random_state=0),,335.0,,,,,,0.8409506398537477,0.019282800002230944,15
90,RandomForestClassifier(random_state=0),,356.0,,,,,,0.8409506398537477,0.019282800002230944,15
91,RandomForestClassifier(random_state=0),,356.0,,,,,,0.8409506398537477,0.019282800002230944,15
71,RandomForestClassifier(random_state=0),,400.0,,,,,,0.8391224862888482,0.024433826558414983,21
87,RandomForestClassifier(random_state=0),,241.0,,,,,,0.8391224862888482,0.017769566277396582,21
58,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,148551.9386440471,3.0,10.0,poly,0.8391224862888482,0.006444296857705132,21
75,RandomForestClassifier(random_state=0),,400.0,,,,,,0.8391224862888482,0.024433826558414983,21
78,RandomForestClassifier(random_state=0),,241.0,,,,,,0.8391224862888482,0.017769566277396582,21
84,RandomForestClassifier(random_state=0),,318.0,,,,,,0.8391224862888482,0.020887677787931987,21
80,RandomForestClassifier(random_state=0),,197.0,,,,,,0.8391224862888482,0.016707666250148162,21
88,RandomForestClassifier(random_state=0),,201.0,,,,,,0.8372943327239488,0.01789996518189048,28
69,RandomForestClassifier(random_state=0),,379.0,,,,,,0.8372943327239488,0.021934574316068423,28
70,RandomForestClassifier(random_state=0),,218.0,,,,,,0.8372943327239488,0.021853094182724308,28
72,RandomForestClassifier(random_state=0),,122.0,,,,,,0.8354661791590493,0.01753745922270633,31
61,RandomForestClassifier(random_state=0),,287.0,,,,,,0.8336380255941499,0.022189771281552657,32
85,RandomForestClassifier(random_state=0),,143.0,,,,,,0.8336380255941499,0.015329988195553894,32
81,RandomForestClassifier(random_state=0),,103.0,,,,,,0.8336380255941499,0.010869615664370039,32
60,RandomForestClassifier(random_state=0),,165.0,,,,,,0.8318098720292505,0.013261218227000358,35
62,RandomForestClassifier(random_state=0),,279.0,,,,,,0.829981718464351,0.01752528462957674,36
67,RandomForestClassifier(random_state=0),,65.0,,,,,,0.8171846435100548,0.015291804959972125,37
56,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,19.907912860676234,4.0,10.0,poly,0.8117001828153565,0.01678550618202831,38
63,RandomForestClassifier(random_state=0),,43.0,,,,,,0.8043875685557587,0.013192495163656143,39
66,RandomForestClassifier(random_state=0),,39.0,,,,,,0.8043875685557587,0.013796526545603083,39
68,RandomForestClassifier(random_state=0),,28.0,,,,,,0.7824497257769653,0.014051647154178473,41
51,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.18893890484993137,6.0,0.8908435970559626,poly,0.7586837294332724,0.0192927655854302,42
43,KNeighborsClassifier(),,,1.0,,,,,0.7458866544789763,0.006999711191042217,43
